frame, face_id, timestamp, confidence, success, AU01_r, AU02_r, AU04_r, AU05_r, AU06_r, AU07_r, AU09_r, AU10_r, AU12_r, AU14_r, AU15_r, AU17_r, AU20_r, AU23_r, AU25_r, AU26_r, AU45_r, AU01_c, AU02_c, AU04_c, AU05_c, AU06_c, AU07_c, AU09_c, AU10_c, AU12_c, AU14_c, AU15_c, AU17_c, AU20_c, AU23_c, AU25_c, AU26_c, AU28_c, AU45_c
37,  0,  1.200,  0.88,  1, 0.61, 0.78, 1.65, 0.00, 1.88, 3.02, 0.06, 2.28, 1.49, 1.40, 0.13, 0.00, 0.00, 0.00, 2.14, 0.24, 1.18, 1.00, 1.00, 1.00, 0.00, 1.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 1.00
38,  0,  1.233,  0.98,  1, 0.48, 0.49, 1.84, 0.00, 2.05, 3.19, 0.19, 2.48, 1.46, 1.56, 0.09, 0.00, 0.00, 0.00, 2.26, 0.30, 0.79, 0.00, 0.00, 1.00, 0.00, 1.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 1.00
39,  0,  1.267,  0.93,  1, 0.20, 0.37, 1.75, 0.00, 2.22, 3.27, 0.18, 2.46, 1.43, 1.37, 0.18, 0.00, 0.00, 0.00, 2.04, 0.27, 0.37, 0.00, 0.00, 1.00, 0.00, 1.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 1.00
40,  0,  1.300,  0.98,  1, 0.10, 0.08, 1.64, 0.00, 2.21, 3.47, 0.22, 2.48, 1.39, 1.32, 0.20, 0.00, 0.00, 0.00, 2.02, 0.21, 0.35, 0.00, 0.00, 1.00, 0.00, 1.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00
41,  0,  1.333,  0.93,  1, 0.07, 0.04, 1.54, 0.00, 2.17, 3.30, 0.09, 2.50, 1.47, 1.30, 0.42, 0.00, 0.00, 0.00, 1.80, 0.14, 0.13, 0.00, 0.00, 1.00, 0.00, 1.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00
42,  0,  1.367,  0.98,  1, 0.05, 0.00, 1.49, 0.00, 2.17, 3.16, 0.18, 2.49, 1.48, 1.40, 0.34, 0.00, 0.00, 0.00, 1.78, 0.07, 0.13, 0.00, 0.00, 1.00, 0.00, 1.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00
43,  0,  1.400,  0.98,  1, 0.00, 0.00, 1.45, 0.00, 2.19, 2.96, 0.17, 2.40, 1.49, 1.48, 0.27, 0.00, 0.00, 0.00, 1.81, 0.13, 0.00, 0.00, 0.00, 1.00, 0.00, 1.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00
44,  0,  1.433,  0.93,  1, 0.11, 0.02, 1.43, 0.00, 2.23, 2.87, 0.17, 2.43, 1.48, 1.46, 0.21, 0.00, 0.00, 0.00, 1.79, 0.19, 0.00, 0.00, 0.00, 1.00, 0.00, 1.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00
45,  0,  1.467,  0.98,  1, 0.16, 0.11, 1.55, 0.00, 2.21, 3.08, 0.15, 2.44, 1.41, 1.45, 0.21, 0.00, 0.00, 0.00, 1.86, 0.21, 0.14, 0.00, 0.00, 1.00, 0.00, 1.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00
46,  0,  1.500,  0.93,  1, 0.30, 0.17, 1.53, 0.17, 2.19, 2.97, 0.09, 2.59, 1.42, 1.39, 0.26, 0.00, 0.00, 0.00, 1.78, 0.08, 0.14, 0.00, 0.00, 1.00, 0.00, 1.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00
47,  0,  1.533,  0.98,  1, 0.28, 0.31, 1.63, 0.17, 2.12, 3.27, 0.23, 2.44, 1.37, 1.34, 0.11, 0.00, 0.00, 0.00, 1.96, 0.03, 0.14, 0.00, 0.00, 1.00, 0.00, 1.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00
48,  0,  1.567,  0.93,  1, 0.28, 0.25, 1.64, 0.17, 2.10, 2.90, 0.21, 2.44, 1.42, 1.42, 0.11, 0.00, 0.00, 0.00, 1.86, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 1.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00
49,  0,  1.600,  0.88,  1, 0.18, 0.24, 1.70, 0.00, 2.10, 2.92, 0.26, 2.33, 1.36, 1.45, 0.04, 0.00, 0.00, 0.00, 1.80, 0.04, 0.02, 0.00, 0.00, 1.00, 0.00, 1.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00
50,  0,  1.633,  0.98,  1, 0.10, 0.08, 1.70, 0.00, 2.10, 2.63, 0.23, 2.28, 1.32, 1.44, 0.08, 0.00, 0.00, 0.00, 1.69, 0.14, 0.02, 0.00, 0.00, 1.00, 0.00, 1.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00
51,  0,  1.667,  0.93,  1, 0.04, 0.11, 1.64, 0.00, 2.10, 2.90, 0.16, 2.30, 1.29, 1.45, 0.14, 0.00, 0.00, 0.00, 1.76, 0.14, 0.02, 0.00, 0.00, 1.00, 0.00, 1.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00
52,  0,  1.700,  0.98,  1, 0.00, 0.07, 1.57, 0.00, 2.06, 2.92, 0.15, 2.22, 1.24, 1.40, 0.13, 0.00, 0.00, 0.00, 1.86, 0.22, 0.04, 0.00, 0.00, 1.00, 0.00, 1.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00
53,  0,  1.733,  0.93,  1, 0.04, 0.07, 1.54, 0.00, 1.98, 2.89, 0.05, 2.20, 1.25, 1.49, 0.19, 0.00, 0.00, 0.00, 1.78, 0.11, 0.04, 0.00, 0.00, 1.00, 0.00, 1.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00
54,  0,  1.767,  0.98,  1, 0.05, 0.00, 1.53, 0.00, 2.03, 2.81, 0.13, 2.18, 1.22, 1.44, 0.16, 0.00, 0.00, 0.00, 1.79, 0.20, 0.04, 0.00, 0.00, 1.00, 0.00, 1.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00
55,  0,  1.800,  0.93,  1, 0.05, 0.04, 1.63, 0.00, 2.01, 2.88, 0.15, 2.25, 1.26, 1.52, 0.28, 0.00, 0.00, 0.00, 1.69, 0.08, 0.09, 0.00, 0.00, 1.00, 0.00, 1.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00
56,  0,  1.833,  0.98,  1, 0.11, 0.11, 1.61, 0.00, 2.09, 3.11, 0.34, 2.32, 1.32, 1.38, 0.32, 0.00, 0.00, 0.00, 1.90, 0.08, 0.30, 0.00, 0.00, 1.00, 0.00, 1.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00
57,  0,  1.867,  0.93,  1, 0.41, 0.28, 1.62, 0.00, 1.91, 3.08, 0.26, 2.47, 1.44, 1.28, 0.43, 0.00, 0.00, 0.00, 2.12, 0.12, 0.77, 1.00, 0.00, 1.00, 0.00, 1.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 1.00
58,  0,  1.900,  0.93,  1, 0.68, 0.31, 1.62, 0.00, 1.89, 2.95, 0.22, 2.51, 1.47, 1.16, 0.30, 0.00, 0.00, 0.00, 2.30, 0.37, 0.93, 0.00, 0.00, 1.00, 0.00, 1.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 1.00
59,  0,  1.933,  0.88,  1, 0.66, 0.27, 1.68, 0.00, 1.88, 2.81, 0.12, 2.52, 1.40, 1.10, 0.25, 0.00, 0.00, 0.00, 2.12, 0.37, 0.80, 0.00, 0.00, 1.00, 0.00, 1.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 1.00
60,  0,  1.967,  0.98,  1, 0.39, 0.16, 1.68, 0.00, 2.03, 2.89, 0.27, 2.37, 1.27, 1.17, 0.12, 0.00, 0.00, 0.00, 1.89, 0.30, 0.46, 0.00, 0.00, 1.00, 0.00, 1.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 1.00
61,  0,  2.000,  0.93,  1, 0.11, 0.13, 1.70, 0.00, 2.16, 3.20, 0.33, 2.34, 1.17, 1.32, 0.18, 0.01, 0.00, 0.00, 1.80, 0.17, 0.22, 0.00, 0.00, 1.00, 0.00, 1.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00
62,  0,  2.033,  0.98,  1, 0.04, 0.10, 1.62, 0.00, 2.17, 3.16, 0.28, 2.33, 1.16, 1.40, 0.22, 0.01, 0.00, 0.00, 1.88, 0.25, 0.20, 0.00, 0.00, 1.00, 0.00, 1.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00
63,  0,  2.067,  0.93,  1, 0.00, 0.05, 1.64, 0.00, 2.12, 3.20, 0.18, 2.37, 1.20, 1.42, 0.28, 0.01, 0.00, 0.00, 1.85, 0.23, 0.08, 0.00, 0.00, 1.00, 0.00, 1.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00
64,  0,  2.100,  0.98,  1, 0.00, 0.00, 1.62, 0.00, 2.01, 3.09, 0.15, 2.35, 1.27, 1.28, 0.22, 0.00, 0.00, 0.00, 1.86, 0.26, 0.08, 0.00, 0.00, 1.00, 0.00, 1.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00
65,  0,  2.133,  0.93,  1, 0.00, 0.00, 1.65, 0.00, 2.02, 3.28, 0.16, 2.31, 1.30, 1.49, 0.26, 0.00, 0.00, 0.00, 1.64, 0.26, 0.00, 0.00, 0.00, 1.00, 0.00, 1.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00
66,  0,  2.167,  0.93,  1, 0.00, 0.00, 1.67, 0.00, 2.06, 3.20, 0.10, 2.38, 1.32, 1.42, 0.28, 0.02, 0.00, 0.00, 1.74, 0.24, 0.00, 0.00, 0.00, 1.00, 0.00, 1.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00
67,  0,  2.200,  0.98,  1, 0.00, 0.00, 1.57, 0.01, 2.09, 3.09, 0.16, 2.39, 1.31, 1.48, 0.40, 0.02, 0.00, 0.00, 1.77, 0.10, 0.00, 0.00, 0.00, 1.00, 0.00, 1.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00
68,  0,  2.233,  0.98,  1, 0.00, 0.00, 1.61, 0.04, 2.05, 2.97, 0.11, 2.37, 1.28, 1.31, 0.22, 0.02, 0.00, 0.00, 1.96, 0.16, 0.00, 0.00, 0.00, 1.00, 0.00, 1.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00
