frame, face_id, timestamp, confidence, success, AU01_r, AU02_r, AU04_r, AU05_r, AU06_r, AU07_r, AU09_r, AU10_r, AU12_r, AU14_r, AU15_r, AU17_r, AU20_r, AU23_r, AU25_r, AU26_r, AU45_r, AU01_c, AU02_c, AU04_c, AU05_c, AU06_c, AU07_c, AU09_c, AU10_c, AU12_c, AU14_c, AU15_c, AU17_c, AU20_c, AU23_c, AU25_c, AU26_c, AU28_c, AU45_c,emotion
53,0,0.867,0.98,1,0.0,0.0,0.77,0.0,1.96,1.29,0.0,2.24,1.85,1.77,0.03,0.0,0.0,0.05,0.3,0.77,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,中性
54,0,0.883,0.98,1,0.0,0.0,0.87,0.0,2.03,1.38,0.0,2.25,1.86,1.77,0.06,0.0,0.0,0.0,0.23,0.74,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,中性
55,0,0.9,0.98,1,0.0,0.0,0.82,0.0,2.07,1.55,0.0,2.21,1.86,1.82,0.07,0.0,0.0,0.01,0.2,0.57,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,中性
56,0,0.917,0.98,1,0.0,0.0,0.78,0.0,2.11,1.44,0.0,2.18,1.88,1.83,0.07,0.03,0.0,0.04,0.2,0.51,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,中性
57,0,0.933,0.98,1,0.0,0.0,0.72,0.0,2.1,1.11,0.0,2.19,1.94,1.83,0.04,0.06,0.0,0.06,0.15,0.35,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,中性
58,0,0.95,0.98,1,0.0,0.0,0.69,0.0,2.09,0.94,0.0,2.17,1.96,1.79,0.0,0.06,0.0,0.09,0.15,0.43,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,中性
59,0,0.967,0.98,1,0.0,0.0,0.68,0.0,2.06,0.8,0.0,2.12,1.93,1.75,0.0,0.04,0.0,0.06,0.21,0.43,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,中性
60,0,0.983,0.98,1,0.0,0.0,0.65,0.0,2.07,1.01,0.0,2.11,1.91,1.6,0.0,0.0,0.0,0.04,0.46,0.49,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,中性
61,0,1.0,0.98,1,0.0,0.0,0.63,0.04,2.09,1.03,0.0,2.11,1.96,1.55,0.0,0.0,0.0,0.01,0.54,0.51,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,中性
62,0,1.017,0.98,1,0.0,0.0,0.68,0.04,2.14,1.06,0.0,2.16,1.99,1.6,0.0,0.0,0.0,0.02,0.55,0.46,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,中性
63,0,1.033,0.98,1,0.0,0.0,0.81,0.2,2.12,0.88,0.0,2.11,1.96,1.65,0.0,0.0,0.0,0.04,0.41,0.39,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,中性
64,0,1.05,0.98,1,0.0,0.0,1.01,0.17,2.08,0.92,0.0,2.11,1.92,1.64,0.0,0.0,0.0,0.05,0.42,0.45,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,中性
65,0,1.067,0.98,1,0.0,0.0,1.09,0.26,2.07,1.03,0.0,2.01,1.96,1.63,0.0,0.0,0.0,0.07,0.42,0.52,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,中性
66,0,1.083,0.98,1,0.0,0.0,1.15,0.11,2.09,1.02,0.0,2.02,2.01,1.69,0.0,0.0,0.0,0.05,0.38,0.55,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,中性
67,0,1.1,0.98,1,0.0,0.0,1.12,0.11,2.13,0.84,0.0,2.03,2.05,1.7,0.0,0.0,0.0,0.08,0.33,0.43,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,中性
68,0,1.117,0.98,1,0.0,0.0,1.17,0.03,2.16,0.7,0.0,2.07,2.04,1.63,0.0,0.0,0.0,0.04,0.33,0.43,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,中性
69,0,1.133,0.98,1,0.0,0.0,1.18,0.06,2.17,0.68,0.0,2.09,2.07,1.6,0.0,0.0,0.0,0.04,0.39,0.39,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,中性
70,0,1.15,0.98,1,0.0,0.0,1.04,0.13,2.12,0.88,0.0,2.08,2.06,1.58,0.0,0.0,0.0,0.0,0.36,0.34,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,中性
