emotion,AU,patient_mean,patient_std,normal_mean,normal_std,t_stat,p_value,cohens_d,significant
中性,AU04_r,0.6553881873017064,0.508226252361228,0.8298890667915724,0.4391502939428641,-0.44998626372681483,0.668521183900368,-0.3181883385220289,False
中性,AU05_r,0.03869155830204275,0.004908330228615191,0.05855888437930429,0.014092159474212525,-2.3059972926093044,0.06060028700530693,-1.6305863230018585,False
中性,AU06_r,0.9365063809452376,0.5642047415865257,1.4343346974906992,0.6601569111777692,-0.992923804653428,0.35908686137623097,-0.7021031554719858,False
中性,AU07_r,1.3878948932347839,1.1134382802587004,1.7705578516577547,0.697136066484959,-0.504532246836086,0.6318764423580513,-0.35675817306508145,False
中性,AU09_r,0.05306904374609217,0.006308927734387629,0.05218414689005973,0.018848619678175253,0.07711068945875807,0.9410425769884925,0.05452549141825787,False
中性,AU10_r,0.6787070594156012,0.6667728994082959,1.928480373191159,0.7005183705842708,-2.2382758093819586,0.06650456311274928,-1.582700002979791,False
中性,AU12_r,0.3494498509749245,0.2894947390897816,0.6155832670169874,0.5145554989311946,-0.7807503517799727,0.4646286586626596,-0.552073868157401,False
中性,AU14_r,0.802344630922971,0.7233399729936318,0.6100093333833095,0.29761888680309345,0.42590789884591,0.6850299577789362,0.30116236343485714,False
中性,AU15_r,0.11190852587056115,0.028656844726398647,0.23942638035743102,0.17553657154714514,-1.2418023901194142,0.2606483954773176,-0.8780868909471004,False
中性,AU17_r,0.4409324409798421,0.15775712072932468,0.5464083238746912,0.16486823353907565,-0.8006170425481798,0.45387918085420953,-0.5661217399193366,False
中性,AU20_r,0.0981943626789512,0.02119189581953426,0.17581559485547116,0.11285300598727292,-1.1708541037522435,0.2860492542774111,-0.8279188765433089,False
中性,AU23_r,0.12052017659114292,0.04630583534612393,0.17410374415486618,0.08324408732918515,-0.9743106480406314,0.36753005182265536,-0.68894166621179,False
中性,AU25_r,0.3871324926341298,0.13756360374925422,0.4308521824439728,0.16980729322494317,-0.34650814126488316,0.7407893780740477,-0.2450182564247451,False
中性,AU26_r,0.40340863678553185,0.17670192145945676,0.5132634455005738,0.18299104413991704,-0.7479910095468706,0.48274252047392247,-0.5289095151171638,False
中性,AU45_r,0.19274682174895524,0.009706536832697553,0.21860376655410538,0.06509877461159866,-0.6804406293980764,0.5216021663839402,-0.4811441832422223,False
