frame, face_id, timestamp, confidence, success, AU01_r, AU02_r, AU04_r, AU05_r, AU06_r, AU07_r, AU09_r, AU10_r, AU12_r, AU14_r, AU15_r, AU17_r, AU20_r, AU23_r, AU25_r, AU26_r, AU45_r, AU01_c, AU02_c, AU04_c, AU05_c, AU06_c, AU07_c, AU09_c, AU10_c, AU12_c, AU14_c, AU15_c, AU17_c, AU20_c, AU23_c, AU25_c, AU26_c, AU28_c, AU45_c,emotion
29,0,0.467,0.98,1,0.25,0.01,0.0,0.0,0.2,0.79,0.0,0.59,0.05,0.0,0.05,0.4,0.0,0.14,1.11,0.63,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,悲伤
30,0,0.484,0.98,1,0.14,0.01,0.0,0.0,0.18,0.85,0.0,0.63,0.06,0.0,0.04,0.44,0.0,0.14,1.21,0.66,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,悲伤
31,0,0.5,0.98,1,0.24,0.05,0.0,0.0,0.2,0.77,0.0,0.55,0.05,0.0,0.01,0.35,0.0,0.12,1.14,0.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,悲伤
32,0,0.517,0.98,1,0.4,0.05,0.0,0.0,0.16,0.85,0.0,0.45,0.01,0.0,0.01,0.31,0.0,0.07,1.13,0.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,悲伤
33,0,0.534,0.98,1,0.42,0.05,0.0,0.0,0.24,0.92,0.0,0.38,0.0,0.0,0.01,0.25,0.0,0.11,1.02,0.53,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,悲伤
34,0,0.55,0.98,1,0.37,0.0,0.0,0.0,0.23,1.09,0.0,0.4,0.0,0.0,0.03,0.21,0.0,0.12,0.99,0.55,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,悲伤
35,0,0.567,0.98,1,0.29,0.0,0.0,0.0,0.25,1.04,0.0,0.43,0.0,0.0,0.03,0.2,0.0,0.11,1.0,0.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,悲伤
36,0,0.584,0.98,1,0.37,0.0,0.0,0.0,0.19,1.02,0.0,0.42,0.0,0.0,0.04,0.22,0.0,0.07,1.02,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,悲伤
37,0,0.6,0.98,1,0.35,0.0,0.0,0.0,0.2,0.95,0.0,0.37,0.03,0.0,0.05,0.26,0.0,0.07,1.08,0.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,悲伤
38,0,0.617,0.98,1,0.42,0.0,0.0,0.0,0.17,0.68,0.0,0.34,0.03,0.0,0.07,0.29,0.0,0.07,1.11,0.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,悲伤
39,0,0.634,0.98,1,0.43,0.0,0.0,0.0,0.11,0.63,0.0,0.32,0.03,0.0,0.09,0.26,0.0,0.03,1.23,0.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,悲伤
40,0,0.65,0.98,1,0.43,0.0,0.0,0.0,0.08,0.64,0.0,0.35,0.01,0.0,0.07,0.27,0.0,0.01,1.19,0.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,悲伤
41,0,0.667,0.98,1,0.45,0.0,0.0,0.0,0.08,0.75,0.0,0.38,0.02,0.0,0.11,0.25,0.0,0.01,1.14,0.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,悲伤
42,0,0.684,0.98,1,0.42,0.0,0.0,0.0,0.1,0.54,0.0,0.37,0.04,0.0,0.06,0.24,0.0,0.0,1.08,0.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,悲伤
