frame, face_id, timestamp, confidence, success, AU01_r, AU02_r, AU04_r, AU05_r, AU06_r, AU07_r, AU09_r, AU10_r, AU12_r, AU14_r, AU15_r, AU17_r, AU20_r, AU23_r, AU25_r, AU26_r, AU45_r, AU01_c, AU02_c, AU04_c, AU05_c, AU06_c, AU07_c, AU09_c, AU10_c, AU12_c, AU14_c, AU15_c, AU17_c, AU20_c, AU23_c, AU25_c, AU26_c, AU28_c, AU45_c,emotion
48,0,1.567,0.93,1,0.0,0.0,0.46,0.0,1.28,1.76,0.86,0.85,0.71,1.31,0.15,0.83,0.0,0.0,1.1,1.8,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,积极
49,0,1.6,0.93,1,0.0,0.0,0.5,0.0,1.26,1.7,0.9,0.91,0.75,1.41,0.29,1.34,0.0,0.0,0.79,1.66,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,积极
50,0,1.633,0.93,1,0.0,0.0,0.55,0.0,1.24,1.73,0.82,0.99,0.75,1.34,0.28,1.42,0.0,0.0,0.73,1.53,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,积极
51,0,1.667,0.93,1,0.0,0.0,0.54,0.0,1.27,1.55,0.76,1.09,0.71,1.41,0.27,1.42,0.0,0.0,0.7,1.5,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,积极
52,0,1.7,0.93,1,0.0,0.0,0.52,0.0,1.29,1.42,0.71,1.03,0.72,1.5,0.15,1.3,0.0,0.0,0.71,1.47,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,积极
53,0,1.733,0.93,1,0.0,0.0,0.5,0.0,1.24,1.24,0.67,1.05,0.66,1.51,0.2,1.26,0.0,0.0,0.75,1.49,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,积极
54,0,1.767,0.93,1,0.0,0.0,0.44,0.0,1.16,1.26,0.67,1.02,0.66,1.52,0.11,1.2,0.0,0.0,0.85,1.51,0.13,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,积极
55,0,1.8,0.98,1,0.0,0.0,0.37,0.0,1.09,1.45,0.61,1.03,0.66,1.48,0.15,1.35,0.0,0.0,0.84,1.6,0.35,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,积极
56,0,1.833,0.98,1,0.0,0.0,0.29,0.0,1.08,1.46,0.71,1.02,0.71,1.43,0.11,1.38,0.0,0.0,0.79,1.56,0.43,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,积极
57,0,1.867,0.98,1,0.0,0.0,0.22,0.0,1.14,1.47,0.7,1.06,0.72,1.46,0.22,1.54,0.0,0.0,0.76,1.46,0.3,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,积极
58,0,1.9,0.98,1,0.0,0.0,0.24,0.0,1.13,1.4,0.59,1.09,0.76,1.3,0.55,1.49,0.0,0.0,0.65,1.15,0.08,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,积极
59,0,1.933,0.98,1,0.0,0.0,0.16,0.0,1.18,1.45,0.44,1.13,0.76,1.39,0.58,1.61,0.0,0.0,0.55,1.09,0.13,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,积极
60,0,1.967,0.98,1,0.0,0.0,0.27,0.0,1.16,1.53,0.5,1.16,0.76,1.46,0.59,1.52,0.0,0.0,0.43,0.97,0.23,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,积极
