frame, face_id, timestamp, confidence, success, AU01_r, AU02_r, AU04_r, AU05_r, AU06_r, AU07_r, AU09_r, AU10_r, AU12_r, AU14_r, AU15_r, AU17_r, AU20_r, AU23_r, AU25_r, AU26_r, AU45_r, AU01_c, AU02_c, AU04_c, AU05_c, AU06_c, AU07_c, AU09_c, AU10_c, AU12_c, AU14_c, AU15_c, AU17_c, AU20_c, AU23_c, AU25_c, AU26_c, AU28_c, AU45_c
34,  0,  1.100,  0.98,  1, 0.07, 0.10, 0.92, 0.00, 0.02, 1.05, 0.07, 0.06, 0.57, 0.00, 0.00, 0.14, 0.00, 0.00, 0.34, 0.01, 0.75, 0.00, 0.00, 1.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00
35,  0,  1.133,  0.98,  1, 0.07, 0.10, 0.90, 0.00, 0.00, 0.92, 0.00, 0.04, 0.59, 0.00, 0.01, 0.09, 0.00, 0.00, 0.38, 0.01, 0.61, 0.00, 0.00, 1.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
36,  0,  1.167,  0.98,  1, 0.07, 0.05, 1.02, 0.00, 0.00, 1.02, 0.00, 0.10, 0.63, 0.00, 0.01, 0.03, 0.00, 0.00, 0.43, 0.01, 0.46, 0.00, 0.00, 1.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
37,  0,  1.200,  0.98,  1, 0.01, 0.00, 0.96, 0.00, 0.00, 0.94, 0.00, 0.11, 0.58, 0.00, 0.01, 0.05, 0.00, 0.00, 0.34, 0.00, 0.34, 0.00, 0.00, 1.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
38,  0,  1.233,  0.98,  1, 0.02, 0.00, 1.02, 0.00, 0.00, 0.86, 0.00, 0.13, 0.55, 0.00, 0.00, 0.07, 0.01, 0.00, 0.29, 0.01, 0.28, 0.00, 0.00, 1.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
39,  0,  1.267,  0.98,  1, 0.06, 0.00, 1.04, 0.00, 0.00, 0.73, 0.00, 0.13, 0.53, 0.00, 0.00, 0.13, 0.01, 0.00, 0.20, 0.01, 0.16, 0.00, 0.00, 1.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
40,  0,  1.300,  0.98,  1, 0.17, 0.01, 1.10, 0.00, 0.00, 0.59, 0.00, 0.14, 0.52, 0.00, 0.00, 0.18, 0.01, 0.00, 0.18, 0.01, 0.07, 0.00, 0.00, 1.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
41,  0,  1.333,  0.98,  1, 0.27, 0.01, 1.09, 0.00, 0.00, 0.53, 0.00, 0.21, 0.57, 0.00, 0.00, 0.20, 0.01, 0.00, 0.18, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
42,  0,  1.367,  0.98,  1, 0.28, 0.01, 1.04, 0.00, 0.00, 0.53, 0.00, 0.19, 0.57, 0.00, 0.00, 0.17, 0.00, 0.00, 0.19, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
43,  0,  1.400,  0.98,  1, 0.28, 0.00, 1.01, 0.00, 0.00, 0.52, 0.00, 0.24, 0.63, 0.00, 0.00, 0.13, 0.00, 0.00, 0.21, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
