,N_1s,N_2s,N_3s,N_4s,N_5s,N_6s,N_7s,N_8s,N_9s,N_10s,N_11s,N_12s,N_13s,N_14s,N_15s,P1_1s,P1_2s,P1_3s,P1_4s,P1_5s,P1_6s,P1_7s,P1_8s,P1_9s,P1_10s,P1_11s,P1_12s,P1_13s,P1_14s,P1_15s,P2_1s,P2_2s,P2_3s,P2_4s,P2_5s,P2_6s,P2_7s,P2_8s,P2_9s,P2_10s,P2_11s,P2_12s,P2_13s,P2_14s,P2_15s
AU02_U3,0.0,0.06,0.9400000000000001,0.0,0.54,0.0,0.0,0.0,0.03,1.33,0.0,0.06,0.03,0.03,0.78,0.06,0.59,1.19,1.08,0.52,0.1,1.17,0.38,3.16,0.09,1.46,0.24,1.68,0.06,0.63,3.0,0.98,3.68,3.19,0.81,0.15,2.25,2.36,0.15000000000000002,0.06,2.19,2.05,1.16,0.75,2.29
AU04_U3,85.11,95.8,89.45,79.69,70.51,75.32,75.26,95.92,96.69,97.87,99.19,91.02,81.69,86.75,79.2,136.51,132.72,133.22,128.13,127.96,122.16,123.27,123.69,125.5,124.03,136.79,132.94,125.36,123.85,130.67,110.41,124.17999999999999,115.05,122.52,122.69,123.41,115.1,120.66,120.75999999999999,129.65,127.46,107.93,102.26,104.59,110.64
AU05_U3,6.92,11.45,22.14,1.3,13.91,20.02,3.21,0.32,0.04,0.44999999999999996,13.200000000000001,6.53,2.24,0.0,0.09,0.5700000000000001,2.66,6.5,2.47,0.72,0.97,2.23,0.87,1.36,0.45,0.06,2.0100000000000002,1.02,1.51,3.61,0.0,0.0,0.0,0.0,0.0,0.18,0.0,0.03,0.12,0.0,0.18,0.0,0.0,0.27,0.0
AU06_U3,125.67999999999999,135.18,129.72,128.43,115.72,117.81,131.47,151.34,150.57,142.32,123.21,126.35,130.45,138.91,133.27,113.53,115.49,118.81,120.53999999999999,115.72999999999999,121.56,122.78,125.77,132.23,128.17,121.02,124.66,139.98,142.56,137.42,182.78,178.02,177.04,163.98,170.01,172.86,166.92000000000002,164.92,164.32,159.71,169.73,173.65,167.27,172.51,172.73
AU07_U3,71.75,71.05,59.8,57.22,62.52,60.58,56.26,87.08,88.92,91.78,79.34,69.08,72.48,75.04,60.38,57.11,54.88,48.23,49.44,45.29,52.53,61.92,61.230000000000004,70.61,62.01,75.46000000000001,57.61,83.02,82.37,76.44,119.52,105.56,94.54,80.02,87.81,91.43,89.75,93.82,102.24,98.86,102.03,109.36,98.59,118.67999999999999,96.81
AU09_U3,2.25,1.86,0.12,1.49,3.8000000000000003,4.21,2.5300000000000002,0.47000000000000003,0.19,1.3800000000000001,4.98,1.48,1.5,0.0,2.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.63,10.26,10.47,5.78,5.44,9.6,8.68,6.63,9.06,5.59,4.3500000000000005,3.5700000000000003,9.33,8.06,2.56
AU10_U3,133.61,131.98,127.5,135.95,137.48,133.78,131.2,138.86,136.65,128.55,129.19,127.97,138.39,132.84,127.39,120.23,120.02,134.47,129.62,133.4,143.42000000000002,134.21,136.56,131.9,123.53,123.59,132.63,131.83,131.38,126.00999999999999,156.61,166.05,165.55,158.95,156.17,159.69,171.19,157.12,153.21,143.60999999999999,149.86,155.45,153.41,153.36,146.14
AU12_U3,85.09,87.24,84.27,83.88,82.57,78.32000000000001,86.39,90.67,89.52,85.93,79.46,80.04,94.47,103.46,98.98,57.26,53.39,55.0,56.97,57.0,57.14,47.56,46.88,49.96,54.1,55.25,56.49,52.83,53.76,56.25,92.24,91.92,97.79,93.63,89.52,87.67999999999999,90.23,88.65,85.39,77.92,83.15,83.3,85.95,87.88,87.42
AU14_U3,45.36,49.65,50.99,45.09,36.6,42.69,48.68,27.97,23.39,36.95,41.16,37.55,68.49,70.01,68.41,43.19,40.34,38.45,35.910000000000004,31.79,42.95,28.07,21.59,34.7,26.36,20.67,30.939999999999998,18.28,22.8,22.32,59.5,70.21,74.65,60.61,56.69,62.15,75.27,64.07,57.75,59.43,60.39,51.45,48.71,55.59,57.02
AU15_U3,35.15,30.12,22.31,23.22,34.16,41.47,17.66,12.7,5.87,2.65,1.43,2.1,0.45,0.0,2.83,40.89,44.23,33.77,48.54,50.82,51.47,45.16,38.82,32.61,33.96,37.56,43.67,41.21,32.28,41.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35,0.0,0.0,0.0,0.0
