frame, face_id, timestamp, confidence, success, AU01_r, AU02_r, AU04_r, AU05_r, AU06_r, AU07_r, AU09_r, AU10_r, AU12_r, AU14_r, AU15_r, AU17_r, AU20_r, AU23_r, AU25_r, AU26_r, AU45_r, AU01_c, AU02_c, AU04_c, AU05_c, AU06_c, AU07_c, AU09_c, AU10_c, AU12_c, AU14_c, AU15_c, AU17_c, AU20_c, AU23_c, AU25_c, AU26_c, AU28_c, AU45_c
28,  0,  0.900,  0.98,  1, 0.12, 0.00, 1.05, 0.02, 0.69, 1.58, 0.02, 0.17, 0.13, 0.00, 0.00, 0.19, 0.00, 0.00, 0.18, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
29,  0,  0.933,  0.98,  1, 0.12, 0.00, 1.02, 0.03, 0.71, 1.56, 0.04, 0.16, 0.20, 0.00, 0.00, 0.13, 0.00, 0.00, 0.12, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
30,  0,  0.967,  0.98,  1, 0.07, 0.00, 1.00, 0.03, 0.72, 1.67, 0.06, 0.12, 0.22, 0.00, 0.01, 0.07, 0.00, 0.00, 0.17, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
31,  0,  1.000,  0.98,  1, 0.03, 0.00, 0.98, 0.01, 0.71, 1.73, 0.06, 0.11, 0.23, 0.00, 0.01, 0.00, 0.00, 0.00, 0.19, 0.01, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
32,  0,  1.033,  0.98,  1, 0.03, 0.00, 0.99, 0.01, 0.71, 1.78, 0.08, 0.11, 0.23, 0.00, 0.01, 0.00, 0.00, 0.00, 0.24, 0.03, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
33,  0,  1.067,  0.98,  1, 0.07, 0.02, 0.98, 0.09, 0.70, 1.75, 0.08, 0.14, 0.24, 0.00, 0.01, 0.04, 0.00, 0.00, 0.22, 0.03, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
34,  0,  1.100,  0.98,  1, 0.10, 0.02, 0.99, 0.09, 0.66, 1.68, 0.09, 0.14, 0.22, 0.00, 0.01, 0.04, 0.00, 0.00, 0.28, 0.07, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
35,  0,  1.133,  0.98,  1, 0.19, 0.02, 1.02, 0.09, 0.63, 1.62, 0.07, 0.19, 0.22, 0.00, 0.03, 0.07, 0.00, 0.00, 0.31, 0.08, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
36,  0,  1.167,  0.98,  1, 0.20, 0.09, 1.09, 0.02, 0.63, 1.57, 0.06, 0.21, 0.20, 0.00, 0.02, 0.11, 0.00, 0.00, 0.33, 0.16, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
37,  0,  1.200,  0.98,  1, 0.23, 0.11, 1.12, 0.02, 0.66, 1.52, 0.03, 0.23, 0.20, 0.00, 0.05, 0.16, 0.00, 0.00, 0.29, 0.13, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
